기관명,기관유형,주무부처,임직원수,신규채용인원,직원평균보수,임원평균연봉,소재지,채용률,임원연봉_직원보수_비율
창업진흥원,기타공공기관,중소벤처기업부,235.0,10.0,69361.0,189767.0,세종특별자치시,0.0425531914893617,2.7359322962471704
축산물품질평가원,준정부기관(위탁집행형),농림축산식품부,474.0,28.0,65097.0,186821.0,세종특별자치시,0.05907172995780591,2.8698864771033996
충남대학교병원,기타공공기관,교육부,5069.6,165.0,68599.0,157236.0,대전광역시,0.0325469465046552,2.2921033834312454
충북대학교병원,기타공공기관,교육부,2674.0,115.0,66981.0,152365.0,충청북도,0.043006731488406884,2.2747495558441946
코레일관광개발(주),기타공공기관,국토교통부,1304.0,1.0,40752.0,117232.0,서울특별시,0.0007668711656441718,2.8767177071064
코레일네트웍스(주),기타공공기관,국토교통부,1680.2,9.0,55740.0,117152.0,서울특별시,0.005356505177955005,2.101758162899175
코레일로지스(주),기타공공기관,국토교통부,543.0,14.0,46253.0,86990.0,서울특별시,0.02578268876611418,1.8807428707327092
코레일유통(주),기타공공기관,국토교통부,477.0,24.0,55043.0,124757.0,서울특별시,0.050314465408805034,2.2665370710172046
코레일테크(주),기타공공기관,국토교통부,5267.0,33.0,47219.0,104853.0,대전광역시,0.006265426238845643,2.2205679916982572
태권도진흥재단,기타공공기관,문화체육관광부,89.0,8.0,61108.0,148391.0,전라북도,0.0898876404494382,2.428339988217582
통일연구원,기타공공기관,국무조정실,100.0,7.0,65541.0,154704.0,서울특별시,0.07,2.3604156177049482
학교법인한국폴리텍,기타공공기관,고용노동부,2740.0,104.0,80283.0,167033.0,인천광역시,0.03795620437956204,2.080552545370751
한국가스공사,공기업(시장형),산업통상부,4251.0,157.0,94008.0,128450.0,대구광역시,0.03693248647377088,1.3663730746319462
한국가스안전공사,준정부기관(위탁집행형),산업통상부,1746.5,91.0,75032.0,176074.0,충청북도,0.052104208416833664,2.346652095106088
한국개발연구원,기타공공기관,국무조정실,474.0,23.0,84767.0,189390.0,세종특별자치시,0.04852320675105485,2.2342420989300082
