기관명,기관유형,주무부처,임직원수,신규채용인원,직원평균보수,임원평균연봉,소재지,채용률,임원연봉_직원보수_비율
한국원자력의학원,기타공공기관,과학기술정보통신부,1378.0,83.0,88147.0,227903.0,서울특별시,0.0602322206095791,2.5854878782034554
한국원자력통제기술원,기타공공기관,원자력안전위원회,129.0,5.0,88497.0,189946.0,대전광역시,0.03875968992248062,2.146355243680577
한국원자력환경공단,준정부기관(위탁집행형),기후에너지환경부,412.0,21.0,82852.0,139910.0,경상북도,0.050970873786407765,1.6886737797518467
한국의료기기안전정보원,기타공공기관,식품의약품안전처,70.0,6.0,58456.0,120590.0,서울특별시,0.08571428571428572,2.062919118653346
한국의료분쟁조정중재원,기타공공기관,보건복지부,157.0,6.0,73493.0,207851.0,서울특별시,0.03821656050955414,2.8281741118201733
한국의약품안전관리원,기타공공기관,식품의약품안전처,123.0,13.0,57914.0,120618.0,경기도,0.10569105691056911,2.08270884414822
한국인터넷진흥원,준정부기관(위탁집행형),과학기술정보통신부,767.0,30.0,72031.0,207581.0,전라남도,0.03911342894393742,2.8818286571059684
한국임업진흥원,기타공공기관,산림청,267.0,24.0,61269.0,167545.0,서울특별시,0.0898876404494382,2.734580293459988
한국자산관리공사,준정부기관(기금관리형),금융위원회,1861.0,104.0,88968.0,216468.0,부산광역시,0.05588393336915637,2.4330995414081467
한국잡월드,기타공공기관,고용노동부,65.0,4.0,61719.0,180950.0,경기도,0.06153846153846154,2.931836225473517
한국장애인개발원,기타공공기관,보건복지부,385.0,6.0,61610.0,185188.0,서울특별시,0.015584415584415584,3.0058107450089273
한국장애인고용공단,준정부기관(위탁집행형),고용노동부,1473.88,58.0,59593.0,174178.0,경기도,0.039351914674193286,2.922792945480174
한국장학재단,준정부기관(위탁집행형),교육부,522.0,21.0,81323.0,269056.0,대구광역시,0.040229885057471264,3.3084859141940166
한국재정정보원,준정부기관(위탁집행형),기획예산처,299.0,21.0,73515.0,202854.0,서울특별시,0.07023411371237458,2.7593552336257905
한국저작권보호원,기타공공기관,문화체육관광부,114.0,4.0,58012.0,162943.0,서울특별시,0.03508771929824561,2.808780941874095
한국저작권위원회,기타공공기관,문화체육관광부,157.0,10.0,64170.0,171647.0,경상남도,0.06369426751592357,2.67487922705314
한국전기안전공사,준정부기관(위탁집행형),기후에너지환경부,3219.5,150.0,68513.0,158756.0,전라북도,0.046591085572293835,2.317166085268489
한국전력거래소,준정부기관(위탁집행형),기후에너지환경부,524.0,27.0,94322.0,184849.0,전라남도,0.05152671755725191,1.9597654841924472
한국전력공사,공기업(시장형),기후에너지환경부,23423.0,600.0,89488.0,168260.0,전라남도,0.025615847671092516,1.8802521008403361
한국전력국제원자력대학원대학교,기타공공기관,기후에너지환경부,67.0,6.0,97427.0,205672.0,울산광역시,0.08955223880597014,2.111036981534893
한국전력기술주식회사,공기업(준시장형),기후에너지환경부,2355.0,185.0,98136.0,181021.0,경상북도,0.07855626326963906,1.8445932175756095
한국제품안전관리원,기타공공기관,산업통상부,101.0,11.0,47192.0,162795.0,서울특별시,0.10891089108910891,3.449631293439566
한국조세재정연구원,기타공공기관,국무조정실,365.0,23.0,81062.0,166799.0,세종특별자치시,0.06301369863013699,2.057671905455084
한국조폐공사,공기업(준시장형),재정경제부,1410.0,53.0,86376.0,162769.0,대전광역시,0.0375886524822695,1.884423914050199
한국주택금융공사,준정부기관(기금관리형),금융위원회,1004.0,30.0,93495.0,229643.0,부산광역시,0.029880478087649404,2.4562062142360555
한국중부발전(주),공기업(시장형),기후에너지환경부,2890.0,112.0,97415.0,157309.0,충청남도,0.03875432525951557,1.614833444541395
한국중소벤처기업유통원,기타공공기관,중소벤처기업부,297.0,15.0,65212.0,155609.0,서울특별시,0.050505050505050504,2.3862019260258847
한국지능정보사회진흥원,준정부기관(위탁집행형),과학기술정보통신부,716.0,26.0,72883.0,178806.0,대구광역시,0.036312849162011177,2.453329308617922
한국지식재산보호원,기타공공기관,지식재산처,119.0,3.0,59607.0,208104.0,서울특별시,0.025210084033613446,3.491267804116966
한국지식재산연구원,기타공공기관,지식재산처,70.0,3.0,81073.0,213519.0,서울특별시,0.04285714285714286,2.633663488461017
한국지역난방공사,공기업(시장형),기후에너지환경부,2133.0,69.0,86934.0,194386.0,경기도,0.03234880450070324,2.2360181286953322
한국직업능력연구원,기타공공기관,국무조정실,208.0,1.0,90897.0,156355.0,세종특별자치시,0.004807692307692308,1.7201337777924464
한국철도공사,공기업(준시장형),국토교통부,32380.0,1596.0,70911.0,110137.0,대전광역시,0.04928968499073502,1.5531722863871613
한국청소년상담복지개발원,기타공공기관,성평등가족부,258.5,2.0,53364.0,165536.0,부산광역시,0.007736943907156673,3.1020163406041528
한국청소년정책연구원,기타공공기관,국무조정실,90.0,0.0,71568.0,154825.0,세종특별자치시,0.0,2.1633271853342277
한국청소년활동진흥원,기타공공기관,성평등가족부,415.0,14.0,53573.0,159685.0,서울특별시,0.033734939759036145,2.980699232822504
한국체육산업개발(주),기타공공기관,문화체육관광부,1171.0,25.0,62685.0,161598.0,서울특별시,0.02134927412467976,2.5779373055754964
한국출판문화산업진흥원,기타공공기관,문화체육관광부,94.0,5.0,53785.0,123490.0,전라북도,0.05319148936170213,2.2959933066840197
한국치산기술협회,기타공공기관,산림청,94.0,12.0,96578.0,,충청북도,0.1276595744680851,
한국콘텐츠진흥원,기타공공기관,문화체육관광부,535.0,20.0,70096.0,183839.0,전라남도,0.037383177570093455,2.622674617667199
한국탄소산업진흥원,기타공공기관,산업통상부,107.0,4.0,81079.0,151862.0,전라북도,0.037383177570093455,1.8730127406603436
한국토지주택공사,공기업(준시장형),국토교통부,8872.0,358.0,76598.0,135764.0,경상남도,0.04035166816952209,1.772422256455782
한국투자공사,기타공공기관,재정경제부,328.0,14.0,123738.0,344698.0,서울특별시,0.042682926829268296,2.78570851314875
한국특허기술진흥원,기타공공기관,지식재산처,666.0,0.0,76091.0,185049.0,대전광역시,0.0,2.431943331011552
한국특허전략개발원,기타공공기관,지식재산처,245.0,5.0,72571.0,213519.0,대전광역시,0.02040816326530612,2.942208320127875
한국특허정보원,기타공공기관,지식재산처,423.0,9.0,59577.0,205527.0,대전광역시,0.02127659574468085,3.4497708847373985
한국학중앙연구원,기타공공기관,교육부,272.0,12.0,76193.0,225424.0,경기도,0.04411764705882353,2.958591996640111
한국한의약진흥원,기타공공기관,보건복지부,148.0,2.0,55000.0,151892.0,경상북도,0.013513513513513514,2.7616727272727273
한국항로표지기술원,기타공공기관,해양수산부,64.0,7.0,62699.0,153663.0,세종특별자치시,0.109375,2.4508046380325044
한국해양교통안전공단,준정부기관(위탁집행형),해양수산부,544.0,24.0,63091.0,161301.0,세종특별자치시,0.04411764705882353,2.5566404082991236
한국해양수산개발원,기타공공기관,국무조정실,260.0,12.0,78032.0,175406.0,부산광역시,0.046153846153846156,2.247872667623539
한국해양수산연수원,기타공공기관,해양수산부,305.0,14.0,63807.0,150316.0,부산광역시,0.04590163934426229,2.355791684297961
한국해양조사협회,기타공공기관,해양수산부,54.0,2.0,66656.0,180136.0,서울특별시,0.037037037037037035,2.7024723955832934
한국해양진흥공사,기타공공기관,해양수산부,178.0,11.0,83887.0,250072.0,부산광역시,0.06179775280898876,2.9810578516337456
한국해외인프라도시개발지원공사,기타공공기관,국토교통부,99.0,5.0,83447.0,177766.0,서울특별시,0.050505050505050504,2.1302862895011203
한국행정연구원,기타공공기관,국무조정실,118.0,8.0,69315.0,157785.0,서울특별시,0.06779661016949153,2.276347111014932
한국형사·법무정책연구원,기타공공기관,국무조정실,102.0,7.0,70615.0,170447.0,서울특별시,0.06862745098039216,2.4137506195567515
한국환경공단,준정부기관(위탁집행형),기후에너지환경부,3233.0,164.0,64394.0,179970.0,인천광역시,0.050726879059696875,2.794825604870019
한국환경보전원,기타공공기관,기후에너지환경부,238.0,15.0,57846.0,148907.0,서울특별시,0.06302521008403361,2.5741970058431005
한국환경산업기술원,준정부기관(위탁집행형),기후에너지환경부,662.0,23.0,77422.0,179903.0,서울특별시,0.03474320241691843,2.323667691353879
한국환경연구원,기타공공기관,국무조정실,237.0,5.0,85478.0,160481.0,세종특별자치시,0.02109704641350211,1.8774538477736962
한식진흥원,기타공공기관,농림축산식품부,44.0,1.0,61376.0,,서울특별시,0.022727272727272728,
한전KDN,공기업(준시장형),기후에너지환경부,3021.0,96.0,76544.0,172792.0,전라남도,0.031777557100297914,2.257420568561873
한전KPS(주),공기업(준시장형),기후에너지환경부,6669.0,368.0,87205.0,207391.0,전라남도,0.055180686759634126,2.3782007912390344
한전MCS(주),기타공공기관,기후에너지환경부,4361.0,585.0,62063.0,212830.0,전라남도,0.13414354505847284,3.4292573675136553
한전원자력연료주식회사,기타공공기관,기후에너지환경부,1172.0,48.0,88926.0,234015.0,대전광역시,0.040955631399317405,2.6315700694959854
항공안전기술원,기타공공기관,국토교통부,112.0,4.0,86112.0,189683.0,인천광역시,0.03571428571428571,2.2027475845410627
해양수산과학기술진흥원,기타공공기관,해양수산부,98.0,5.0,86516.0,225295.0,서울특별시,0.05102040816326531,2.6040847935641964
해양환경공단,공기업(준시장형),해양수산부,739.0,49.0,73988.0,185202.0,서울특별시,0.06630581867388363,2.5031356436178838
