institution,quarter,quarter_avg_quit_probability
국립광주과학관,2024Q2,0.4511
국립광주과학관,2024Q3,0.4743
국립광주과학관,2024Q4,0.4243
국립낙동강생물자원관,2024Q1,0.3829
국립낙동강생물자원관,2024Q2,0.3278
국립낙동강생물자원관,2024Q3,0.3033
국립낙동강생물자원관,2024Q4,0.4227
국립대구과학관,2024Q1,0.2967
국립대구과학관,2024Q2,0.2744
국립대구과학관,2024Q3,0.323
국립대구과학관,2024Q4,0.396
국립박물관문화재단,2024Q1,0.3233
국립박물관문화재단,2024Q2,0.339
국립박물관문화재단,2024Q3,0.3914
국립박물관문화재단,2024Q4,0.2657
국립부산과학관,2024Q1,0.33
국립부산과학관,2024Q2,0.3286
국립부산과학관,2024Q3,0.3333
국립부산과학관,2024Q4,0.295
국립생태원,2024Q1,0.3038
국립생태원,2024Q2,0.27
국립생태원,2024Q3,0.3107
국립생태원,2024Q4,0.365
국립아시아문화전당재단,2024Q1,0.3533
국립아시아문화전당재단,2024Q2,0.328
국립아시아문화전당재단,2024Q3,0.3525
국립아시아문화전당재단,2024Q4,0.3664
국립암센터,2024Q1,0.4232
국립암센터,2024Q2,0.4247
국립암센터,2024Q3,0.4281
국립암센터,2024Q4,0.4225
국립울진해양과학관,2024Q1,0.3962
국립울진해양과학관,2024Q2,0.34
국립울진해양과학관,2024Q3,0.302
국립울진해양과학관,2024Q4,0.3843
국립중앙의료원,2024Q1,0.41
국립중앙의료원,2024Q2,0.3087
국립중앙의료원,2024Q3,0.3253
국립중앙의료원,2024Q4,0.3186
국립항공박물관,2024Q1,0.47
국립항공박물관,2024Q2,0.3957
국립항공박물관,2024Q3,0.4722
국립항공박물관,2024Q4,0.4911
국립해양박물관,2024Q1,0.3886
국립해양박물관,2024Q2,0.4188
국립해양박물관,2024Q3,0.53
국립해양박물관,2024Q4,0.448
국립해양생물자원관,2024Q1,0.4975
국립해양생물자원관,2024Q2,0.4283
국립해양생물자원관,2024Q3,0.4112
국립해양생물자원관,2024Q4,0.48
국립호남권생물자원관,2024Q1,0.4489
국립호남권생물자원관,2024Q2,0.5925
국립호남권생물자원관,2024Q3,0.4443
국립호남권생물자원관,2024Q4,0.461
국민건강보험공단,2024Q1,0.4519
국민건강보험공단,2024Q2,0.4535
국민건강보험공단,2024Q3,0.453
국민건강보험공단,2024Q4,0.449
국민건강보험공단 일산병원,2024Q1,0.4744
국민건강보험공단 일산병원,2024Q2,0.4305
국민건강보험공단 일산병원,2024Q3,0.4462
국민건강보험공단 일산병원,2024Q4,0.4283
국민연금공단,2024Q1,0.3251
국민연금공단,2024Q2,0.3095
국민연금공단,2024Q3,0.3576
국민연금공단,2024Q4,0.3331
국방과학연구소,2024Q1,0.4746
국방과학연구소,2024Q2,0.4895
국방과학연구소,2024Q3,0.4919
국방과학연구소,2024Q4,0.4491
국방기술진흥연구소,2024Q1,0.255
국방기술진흥연구소,2024Q2,0.3633
국방기술진흥연구소,2024Q3,0.334
국방기술진흥연구소,2024Q4,0.2617
국방기술품질원,2024Q1,0.4233
국방기술품질원,2024Q2,0.3988
국방기술품질원,2024Q3,0.3533
국방기술품질원,2024Q4,0.2971
국방전직교육원,2024Q1,0.382
국방전직교육원,2024Q2,0.3044
국방전직교육원,2024Q3,0.3156
국방전직교육원,2024Q4,0.3
국악방송,2024Q1,0.2729
국악방송,2024Q2,0.2936
국악방송,2024Q3,0.41
국악방송,2024Q4,0.3267
국제방송교류재단,2024Q1,0.3157
국제방송교류재단,2024Q2,0.3567
국제방송교류재단,2024Q3,0.3775
국제방송교류재단,2024Q4,0.3746
국제식물검역인증원,2024Q1,0.3275
국제식물검역인증원,2024Q2,0.3475
국제식물검역인증원,2024Q3,0.3586
국제식물검역인증원,2024Q4,0.3014
국토교통과학기술진흥원,2024Q1,0.3242
국토교통과학기술진흥원,2024Q2,0.3625
국토교통과학기술진흥원,2024Q3,0.288
국토교통과학기술진흥원,2024Q4,0.428
국토안전관리원,2024Q1,0.37
국토안전관리원,2024Q2,0.4475
국토안전관리원,2024Q3,0.4778
국토안전관리원,2024Q4,0.385
국토연구원,2024Q1,0.3762
국토연구원,2024Q2,0.3386
국토연구원,2024Q3,0.3371
국토연구원,2024Q4,0.3075
그랜드코리아레저(주),2024Q1,0.3329
그랜드코리아레저(주),2024Q2,0.2908
그랜드코리아레저(주),2024Q3,0.3747
그랜드코리아레저(주),2024Q4,0.3329
극지연구소,2024Q1,0.2875
극지연구소,2024Q2,0.3578
극지연구소,2024Q3,0.365
극지연구소,2024Q4,0.3055
근로복지공단,2024Q1,0.3295
근로복지공단,2024Q2,0.3265
근로복지공단,2024Q3,0.3494
근로복지공단,2024Q4,0.327
기술보증기금,2024Q1,0.3583
기술보증기금,2024Q2,0.3729
기술보증기금,2024Q3,0.3657
기술보증기금,2024Q4,0.3369
기초과학연구원,2024Q1,0.3417
기초과학연구원,2024Q2,0.3033
기초과학연구원,2024Q3,0.4212
기초과학연구원,2024Q4,0.1957
노사발전재단,2024Q1,0.2818
노사발전재단,2024Q2,0.3525
노사발전재단,2024Q3,0.4175
노사발전재단,2024Q4,0.3143
농림수산식품교육문화정보원,2024Q1,0.2867
농림수산식품교육문화정보원,2024Q2,0.2733
농림수산식품교육문화정보원,2024Q3,0.4483
농림수산식품교육문화정보원,2024Q4,0.39
농림식품기술기획평가원,2024Q1,0.252
농림식품기술기획평가원,2024Q2,0.331
농림식품기술기획평가원,2024Q3,0.37
농림식품기술기획평가원,2024Q4,0.404
농업정책보험금융원,2024Q1,0.3233
농업정책보험금융원,2024Q2,0.2867
농업정책보험금융원,2024Q3,0.4243
농업정책보험금융원,2024Q4,0.32
대구경북첨단의료산업진흥재단,2024Q1,0.382
대구경북첨단의료산업진흥재단,2024Q2,0.445
대구경북첨단의료산업진흥재단,2024Q3,0.3983
대구경북첨단의료산업진흥재단,2024Q4,0.4725
대외경제정책연구원,2024Q1,0.4108
대외경제정책연구원,2024Q2,0.6
대외경제정책연구원,2024Q3,0.485
대외경제정책연구원,2024Q4,0.4712
대한무역투자진흥공사,2024Q1,0.4314
대한무역투자진흥공사,2024Q2,0.2771
대한무역투자진흥공사,2024Q3,0.3407
대한무역투자진흥공사,2024Q4,0.345
대한법률구조공단,2024Q1,0.4238
대한법률구조공단,2024Q2,0.3243
대한법률구조공단,2024Q3,0.2525
대한법률구조공단,2024Q4,0.3445
대한석탄공사,2024Q1,0.3467
대한석탄공사,2024Q2,0.346
대한석탄공사,2024Q3,0.3644
대한석탄공사,2024Q4,0.258
대한장애인체육회,2024Q1,0.5375
대한장애인체육회,2024Q2,0.4012
대한장애인체육회,2024Q3,0.3333
대한장애인체육회,2024Q4,0.3422
대한적십자사,2024Q1,0.3321
대한적십자사,2024Q2,0.3452
대한적십자사,2024Q3,0.3359
대한적십자사,2024Q4,0.3134
대한체육회,2024Q1,0.3175
대한체육회,2024Q2,0.368
대한체육회,2024Q3,0.292
대한체육회,2024Q4,0.5014
독립기념관,2024Q1,0.4722
독립기념관,2024Q2,0.4314
독립기념관,2024Q3,0.4071
독립기념관,2024Q4,0.4486
동남권원자력의학원,2024Q1,0.3167
동남권원자력의학원,2024Q2,0.31
동남권원자력의학원,2024Q3,0.315
동남권원자력의학원,2024Q4,0.3767
동북아역사재단,2024Q1,0.338
동북아역사재단,2024Q2,0.2844
동북아역사재단,2024Q3,0.314
동북아역사재단,2024Q4,0.245
무역안보관리원,2024Q1,0.4833
무역안보관리원,2024Q2,0.5518
무역안보관리원,2024Q3,0.5317
무역안보관리원,2024Q4,0.456
민주화운동기념사업회,2024Q1,0.3167
민주화운동기념사업회,2024Q2,0.3757
민주화운동기념사업회,2024Q3,0.3925
민주화운동기념사업회,2024Q4,0.326
부산대학교병원,2024Q1,0.3233
부산대학교병원,2024Q2,0.3609
부산대학교병원,2024Q3,0.3598
부산대학교병원,2024Q4,0.3406
부산대학교치과병원,2024Q1,0.312
부산대학교치과병원,2024Q2,0.325
부산대학교치과병원,2024Q3,0.37
부산대학교치과병원,2024Q4,0.3464
부산항만공사,2024Q1,0.3486
부산항만공사,2024Q2,0.2744
부산항만공사,2024Q3,0.2686
부산항만공사,2024Q4,0.3629
북한이탈주민지원재단,2024Q1,0.339
북한이탈주민지원재단,2024Q2,0.3871
북한이탈주민지원재단,2024Q3,0.3212
북한이탈주민지원재단,2024Q4,0.336
분당서울대학교병원,2024Q1,0.4323
분당서울대학교병원,2024Q2,0.4502
분당서울대학교병원,2024Q3,0.4344
분당서울대학교병원,2024Q4,0.4516
사립학교교직원연금공단,2024Q1,0.357
사립학교교직원연금공단,2024Q2,0.3511
사립학교교직원연금공단,2024Q3,0.354
사립학교교직원연금공단,2024Q4,0.325
산업연구원,2024Q1,0.3971
산업연구원,2024Q2,0.3544
산업연구원,2024Q3,0.263
산업연구원,2024Q4,0.2875
새만금개발공사,2024Q1,0.3214
새만금개발공사,2024Q2,0.2443
새만금개발공사,2024Q3,0.2629
새만금개발공사,2024Q4,0.3722
서민금융진흥원,2024Q1,0.374
서민금융진흥원,2024Q2,0.36
서민금융진흥원,2024Q3,0.3592
서민금융진흥원,2024Q4,0.302
서울대학교병원,2024Q1,0.3204
서울대학교병원,2024Q2,0.3176
서울대학교병원,2024Q3,0.3357
서울대학교병원,2024Q4,0.3532
서울대학교치과병원,2024Q1,0.3983
서울대학교치과병원,2024Q2,0.3213
서울대학교치과병원,2024Q3,0.3273
서울대학교치과병원,2024Q4,0.296
서울올림픽기념국민체육진흥공단,2024Q1,0.3409
서울올림픽기념국민체육진흥공단,2024Q2,0.3325
서울올림픽기념국민체육진흥공단,2024Q3,0.3514
서울올림픽기념국민체육진흥공단,2024Q4,0.3145
서울요양원,2024Q1,0.444
서울요양원,2024Q2,0.4564
서울요양원,2024Q3,0.55
서울요양원,2024Q4,0.465
선박해양플랜트연구소,2024Q1,0.318
선박해양플랜트연구소,2024Q2,0.33
선박해양플랜트연구소,2024Q3,0.429
선박해양플랜트연구소,2024Q4,0.322
세종학당재단,2024Q1,0.3171
세종학당재단,2024Q2,0.381
세종학당재단,2024Q3,0.272
세종학당재단,2024Q4,0.2938
소상공인시장진흥공단,2024Q1,0.416
소상공인시장진흥공단,2024Q2,0.3033
